tdtfile,medfile,rat,session,stype,box,dietgroup,date,bottleL,bottleR,licksL,licksR,Totallicks,missedtrials,intakeL,intakeR,sig-blue,sig-uv,ttl-trialL,ttl-trialR,ttl-lickL,ttl-lickR,include-py,include-mat,endcol
Eelke-171018-103753,"!2017-10-18_10h31m.Subject PPP1,8",PPP1.8,s3,sacc,2.0,NR,171018.0,saccharin,saccharin,157.0,52.0,209.0,,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171019-092159,"!2017-10-19_09h16m.Subject PPP1,1",PPP1.1,s4,sacc,1.0,PR,171019.0,saccharin,saccharin,463.0,234.0,697.0,23.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171019-092159,"!2017-10-19_09h16m.Subject PPP1,2",PPP1.2,s4,sacc,2.0,PR,171019.0,saccharin,saccharin,483.0,414.0,897.0,14.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171019-100834,"!2017-10-19_10h03m.Subject PPP1,3",PPP1.3,s4,sacc,1.0,PR,171019.0,saccharin,saccharin,709.0,627.0,1336.0,1.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171019-100834,"!2017-10-19_10h03m.Subject PPP1,4",PPP1.4,s4,sacc,2.0,PR,171019.0,saccharin,saccharin,723.0,688.0,1411.0,4.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171019-104017,"!2017-10-19_10h34m.Subject PPP1,5",PPP1.5,s4,sacc,1.0,NR,171019.0,saccharin,saccharin,707.0,437.0,1144.0,1.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171019-104017,"!2017-10-19_10h34m.Subject PPP1,6",PPP1.6,s4,sacc,2.0,NR,171019.0,saccharin,saccharin,659.0,659.0,1318.0,5.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171019-082926,"!2017-10-19_08h23m.Subject PPP1,7",PPP1.7,s4,sacc,1.0,NR,171019.0,saccharin,saccharin,327.0,996.0,1323.0,22.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171019-082926,"!2017-10-19_08h23m.Subject PPP1,8",PPP1.8,s4,sacc,2.0,NR,171019.0,saccharin,saccharin,41.0,49.0,90.0,38.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171020-085607,"!2017-10-20_08h49m.Subject PPP1,1",PPP1.1,s5,sacc,1.0,PR,171020.0,saccharin,saccharin,663.0,322.0,985.0,15.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171020-085607,"!2017-10-20_08h49m.Subject PPP1,2",PPP1.2,s5,sacc,2.0,PR,171020.0,saccharin,saccharin,508.0,543.0,1051.0,11.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171020-093953,"!2017-10-20_09h34m.Subject PPP1,3",PPP1.3,s5,sacc,1.0,PR,171020.0,saccharin,saccharin,380.0,1544.0,1924.0,28.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171020-093953,"!2017-10-20_09h34m.Subject PPP1,4",PPP1.4,s5,sacc,2.0,PR,171020.0,saccharin,saccharin,296.0,249.0,545.0,27.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171020-103025,"!2017-10-20_10h24m.Subject PPP1,5",PPP1.5,s5,sacc,1.0,NR,171020.0,saccharin,saccharin,739.0,730.0,1469.0,0.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171020-103025,"!2017-10-20_10h24m.Subject PPP1,6",PPP1.6,s5,sacc,2.0,NR,171020.0,saccharin,saccharin,748.0,809.0,1557.0,0.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171020-105930,"!2017-10-20_10h53m.Subject PPP1,7",PPP1.7,s5,sacc,1.0,NR,171020.0,saccharin,saccharin,950.0,866.0,1816.0,13.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171020-105930,"!2017-10-20_10h53m.Subject PPP1,8",PPP1.8,s5,sacc,2.0,NR,171020.0,saccharin,saccharin,93.0,285.0,378.0,37.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171023-084835,"!2017-10-23_08h41m.Subject PPP1,1",PPP1.1,s6,cond1-cas1,1.0,PR,171023.0,caseinCH,empty,2344.0,0.0,2344.0,0.0,,,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171023-084835,"!2017-10-23_08h41m.Subject PPP1,2",PPP1.2,s6,cond1-cas1,2.0,PR,171023.0,empty,caseinCH,0.0,1543.0,1543.0,1.0,,,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171023-093837,"!2017-10-23_09h32m.Subject PPP1,3",PPP1.3,s6,cond1-malt1,1.0,PR,171023.0,maltodextrinCH,empty,1826.0,0.0,1826.0,1.0,11.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171023-093837,"!2017-10-23_09h32m.Subject PPP1,4",PPP1.4,s6,cond1-malt1,2.0,PR,171023.0,empty,maltodextrinCH,0.0,2665.0,2665.0,3.0,0.0,13.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171023-102054,"!2017-10-23_10h14m.Subject PPP1,5",PPP1.5,s6,cond1-cas1,1.0,NR,171023.0,caseinCH,empty,1972.0,0.0,1972.0,0.0,15.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171023-102054,"!2017-10-23_10h14m.Subject PPP1,6",PPP1.6,s6,cond1-cas1,2.0,NR,171023.0,empty,caseinCH,0.0,2474.0,2474.0,1.0,0.0,22.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171023-110125,"!2017-10-23_10h55m.Subject PPP1,7",PPP1.7,s6,cond1-malt1,1.0,NR,171023.0,maltodextrinCH,empty,2433.0,0.0,2433.0,0.0,22.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171023-110125,"!2017-10-23_10h55m.Subject PPP1,8",PPP1.8,s6,cond1-malt1,2.0,NR,171023.0,empty,maltodextrinCH,0.0,3076.0,3076.0,4.0,0.0,20.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171024-101252,"!2017-10-24_10h06m.Subject PPP1,1",PPP1.1,s7,cond1-malt1,1.0,PR,171024.0,empty,maltodextrinGR,0.0,2691.0,2691.0,0.0,0.0,27.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171024-101252,"!2017-10-24_10h06m.Subject PPP1,2",PPP1.2,s7,cond1-malt1,2.0,PR,171024.0,maltodextrinGR,empty,1627.0,0.0,1627.0,6.0,13.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171024-105619,"!2017-10-24_10h50m.Subject PPP1,3",PPP1.3,s7,cond1-cas1,1.0,PR,171024.0,empty,caseinGR,0.0,1164.0,1164.0,1.0,0.0,12.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171024-105619,"!2017-10-24_10h50m.Subject PPP1,4",PPP1.4,s7,cond1-cas1,2.0,PR,171024.0,caseinGR,empty,1871.0,0.0,1871.0,1.0,13.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171024-084956,"!2017-10-24_08h40m.Subject PPP1,5",PPP1.5,s7,cond1-malt1,1.0,NR,171024.0,empty,maltodextrinGR,0.0,3043.0,3043.0,0.0,0.0,25.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171024-084956,"!2017-10-24_08h40m.Subject PPP1,6",PPP1.6,s7,cond1-malt1,2.0,NR,171024.0,maltodextrinGR,empty,2154.0,0.0,2154.0,3.0,18.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171024-093159,"!2017-10-24_09h25m.Subject PPP1,7",PPP1.7,s7,cond1-cas1,1.0,NR,171024.0,empty,caseinGR,0.0,2325.0,2325.0,0.0,0.0,14.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171024-093159,"!2017-10-24_09h25m.Subject PPP1,8",PPP1.8,s7,cond1-cas1,2.0,NR,171024.0,caseinGR,empty,1529.0,0.0,1529.0,3.0,13.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171025-092731,"!2017-10-25_09h18m.Subject PPP1,1",PPP1.1,s8,cond1-cas2,1.0,PR,171025.0,caseinCH,empty,3722.0,0.0,3722.0,0.0,26.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171025-092731,"!2017-10-25_09h18m.Subject PPP1,2",PPP1.2,s8,cond1-cas2,2.0,PR,171025.0,empty,caseinCH,0.0,2604.0,2604.0,0.0,0.0,19.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171025-100810,"!2017-10-25_10h02m.Subject PPP1,3",PPP1.3,s8,cond1-malt2,1.0,PR,171025.0,maltodextrinCH,empty,2826.0,0.0,2826.0,0.0,23.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171025-100810,"!2017-10-25_10h02m.Subject PPP1,4",PPP1.4,s8,cond1-malt2,2.0,PR,171025.0,empty,maltodextrinCH,0.0,2952.0,2952.0,4.0,0.0,19.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171025-104742,"!2017-10-25_10h41m.Subject PPP1,5",PPP1.5,s8,cond1-cas2,1.0,NR,171025.0,caseinCH,empty,2037.0,0.0,2037.0,0.0,11.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171025-104742,"!2017-10-25_10h41m.Subject PPP1,6",PPP1.6,s8,cond1-cas2,2.0,NR,171025.0,empty,caseinCH,0.0,2933.0,2933.0,0.0,0.0,26.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171025-084709,"!2017-10-25_08h38m.Subject PPP1,7",PPP1.7,s8,cond1-malt2,1.0,NR,171025.0,maltodextrinCH,empty,2504.0,0.0,2504.0,0.0,23.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171025-084709,"!2017-10-25_08h39m.Subject PPP1,8",PPP1.8,s8,cond1-malt2,2.0,NR,171025.0,empty,maltodextrinCH,0.0,3486.0,3486.0,0.0,0.0,28.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171026-104258,"!2017-10-26_10h36m.Subject PPP1,1",PPP1.1,s9,cond1-malt2,1.0,PR,171026.0,empty,maltodextrinGR,0.0,2888.0,2888.0,1.0,0.0,27.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171026-104258,"!2017-10-26_10h45m.Subject PPP1,2",PPP1.2,s9,cond1-malt2,2.0,PR,171026.0,maltodextrinGR,empty,1588.0,0.0,1588.0,0.0,15.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171026-084636,"!2017-10-26_08h35m.Subject PPP1,3",PPP1.3,s9,cond1-cas2,1.0,PR,171026.0,empty,caseinGR,0.0,1161.0,1161.0,1.0,0.0,17.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171026-084636,"!2017-10-26_08h35m.Subject PPP1,4",PPP1.4,s9,cond1-cas2,2.0,PR,171026.0,caseinGR,empty,2289.0,0.0,2289.0,0.0,18.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171026-092654,"!2017-10-26_09h18m.Subject PPP1,5",PPP1.5,s9,cond1-malt2,1.0,NR,171026.0,empty,maltodextrinGR,0.0,3347.0,3347.0,1.0,0.0,23.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171026-092654,"!2017-10-26_09h19m.Subject PPP1,6",PPP1.6,s9,cond1-malt2,2.0,NR,171026.0,maltodextrinGR,empty,3174.0,0.0,3174.0,0.0,26.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171026-100436,"!2017-10-26_09h57m.Subject PPP1,7",PPP1.7,s9,cond1-cas2,1.0,NR,171026.0,empty,caseinGR,0.0,2516.0,2516.0,0.0,0.0,24.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171026-100436,"!2017-10-26_09h57m.Subject PPP1,8",PPP1.8,s9,cond1-cas2,2.0,NR,171026.0,caseinGR,empty,1723.0,0.0,1723.0,3.0,12.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171027-090003,"!2017-10-27_08h45m.Subject PPP1,1",PPP1.1,s10,pref1,1.0,PR,171027.0,caseinCH,maltodextrinGR,1386.0,819.0,2205.0,0.0,10.0,9.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171027-090003,"!2017-10-27_08h45m.Subject PPP1,2",PPP1.2,s10,pref1,2.0,PR,171027.0,maltodextrinGR,caseinCH,638.0,1324.0,1962.0,3.0,7.0,14.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171027-102614,"!2017-10-27_10h20m.Subject PPP1,3",PPP1.3,s10,pref1,1.0,PR,171027.0,maltodextrinCH,caseinGR,800.0,1285.0,2085.0,0.0,9.0,17.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171027-102614,"!2017-10-27_10h28m.Subject PPP1,4",PPP1.4,s10,pref1,2.0,PR,171027.0,caseinGR,maltodextrinCH,1459.0,777.0,2236.0,1.0,13.0,9.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171027-094359,"!2017-10-27_09h36m.Subject PPP1,5",PPP1.5,s10,pref1,1.0,NR,171027.0,caseinCH,maltodextrinGR,937.0,1206.0,2143.0,0.0,5.0,13.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171027-094359,"!2017-10-27_09h36m.Subject PPP1,6",PPP1.6,s10,pref1,2.0,NR,171027.0,maltodextrinGR,caseinCH,1406.0,820.0,2226.0,0.0,11.0,13.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171027-111329,"!2017-10-27_11h06m.Subject PPP1,7",PPP1.7,s10,pref1,1.0,NR,171027.0,maltodextrinCH,caseinGR,1222.0,854.0,2076.0,0.0,12.0,15.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171027-111329,"!2017-10-27_11h06m.Subject PPP1,8",PPP1.8,s10,pref1,2.0,NR,171027.0,caseinGR,maltodextrinCH,290.0,1454.0,1744.0,14.0,6.0,10.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171103-102344,"!2017-11-03_10h17m.Subject PPP1,1",PPP1.1,s11,pref2,1.0,NR,171103.0,caseinCH,maltodextrinGR,1283.0,929.0,2212.0,,15.0,12.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171103-102344,"!2017-11-03_10h17m.Subject PPP1,2",PPP1.2,s11,pref2,2.0,NR,171103.0,maltodextrinGR,caseinCH,1124.0,999.0,2123.0,,12.0,11.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171103-085327,"!2017-11-03_08h43m.Subject PPP1,3",PPP1.3,s11,pref2,1.0,NR,171103.0,maltodextrinCH,caseinGR,782.0,1079.0,1861.0,,8.0,12.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171103-085327,"!2017-11-03_08h43m.Subject PPP1,4",PPP1.4,s11,pref2,2.0,NR,171103.0,caseinGR,maltodextrinCH,1428.0,746.0,2174.0,0.0,15.0,7.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171103-111649,"!2017-11-03_11h10m.Subject PPP1,5",PPP1.5,s11,pref2,1.0,PR,171103.0,caseinCH,maltodextrinGR,1146.0,1044.0,2190.0,0.0,10.0,11.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171103-111649,"!2017-11-03_11h10m.Subject PPP1,6",PPP1.6,s11,pref2,2.0,PR,171103.0,maltodextrinGR,caseinCH,851.0,1330.0,2181.0,,9.0,13.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171103-094134,"!2017-11-03_09h34m.Subject PPP1,7",PPP1.7,s11,pref2,1.0,PR,171103.0,maltodextrinCH,caseinGR,1003.0,1225.0,2228.0,,12.0,14.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,1.0,1.0,0.0
Eelke-171103-094134,"!2017-11-03_09h32m.Subject PPP1,8",PPP1.8,s11,pref2,2.0,PR,171103.0,caseinGR,maltodextrinCH,909.0,1115.0,2024.0,,9.0,11.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,1.0,1.0,0.0
Eelke-171106-093115,!2017-11-06_09h20m.Subject ppp1.1,PPP1.1,s12,cond2-cas1,1.0,NP,171106.0,caseinCH,empty,,0.0,,,29.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171106-093115,!2017-11-06_09h20m.Subject ppp1.2,PPP1.2,s12,cond2-cas1,2.0,NP,171106.0,empty,caseinCH,0.0,,,,0.0,16.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171106-102452,!2017-11-06_10h10m.Subject PPP1.3,PPP1.3,s12,cond2-malt1,1.0,NP,171106.0,maltodextrinCH,empty,2287.0,0.0,2287.0,0.0,24.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171106-102452,!2017-11-06_10h10m.Subject PPP1.4,PPP1.4,s12,cond2-malt1,2.0,NP,171106.0,empty,maltodextrinCH,0.0,3414.0,3414.0,1.0,0.0,18.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171106-111244,!2017-11-06_11h03m.Subject PPP1.5,PPP1.5,s12,cond2-cas1,1.0,LP,171106.0,caseinCH,empty,3108.0,0.0,3108.0,,25.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171106-111244,!2017-11-06_11h03m.Subject PPP1.6,PPP1.6,s12,cond2-cas1,2.0,LP,171106.0,empty,caseinCH,0.0,3668.0,3668.0,,0.0,30.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171106-120131,!2017-11-06_11h46m.Subject PPP1.7,PPP1.7,s12,cond2-malt1,1.0,LP,171106.0,maltodextrinCH,empty,2983.0,0.0,2983.0,0.0,30.0,0.0,Dv1B,Dv2B,LT1_,none,LL1_,none,1.0,1.0,0.0
Eelke-171106-120131,!2017-11-06_11h46m.Subject PPP1.8,PPP1.8,s12,cond2-malt1,2.0,LP,171106.0,empty,maltodextrinCH,0.0,2461.0,2461.0,0.0,0.0,20.0,Dv3B,Dv4B,none,RT2_,none,RL2_,1.0,1.0,0.0
Eelke-171107-110855,!2017-11-07_10h51m.Subject PPP1.1,PPP1.1,s13,cond2-malt1,1.0,NP,171107.0,empty,maltodextrinGR,0.0,3454.0,3454.0,2.0,0.0,29.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
Eelke-171107-110855,!2017-11-07_10h51m.Subject PPP1.2,PPP1.2,s13,cond2-malt1,2.0,NP,171107.0,maltodextrinGR,empty,2285.0,0.0,2285.0,2.0,17.0,0.0,Dv3B,Dv4B,LT2_,none,LL2_,none,1.0,1.0,0.0
Eelke-171107-115532,!2017-11-07_11h43m.Subject PPP1.3,PPP1.3,s13,cond2-cas1,1.0,NP,171107.0,empty,caseinGR,0.0,2285.0,2564.0,1.0,0.0,16.0,Dv1B,Dv2B,none,RT1_,none,RL1_,1.0,1.0,0.0
